finess;region;score_all_rea_ajust;taux_reco_brut
010780054;Auvergne-Rhône-Alpes;73.94;55.5
010780062;Auvergne-Rhône-Alpes;70.93;47.6
010780096;Auvergne-Rhône-Alpes;;
010008407;Auvergne-Rhône-Alpes;75.05;41.7
010780195;Auvergne-Rhône-Alpes;73.16;54
010780203;Auvergne-Rhône-Alpes;71.54;43.3
020000022;Hauts de France;;
020000063;Hauts de France;69.43;41.8
020000360;Hauts de France;77.69;82.7
020000253;Hauts de France;71.39;38.4
020000261;Hauts de France;71.07;44.6
020000287;Hauts de France;;
020004404;Hauts de France;69.43;42.6
020004495;Hauts de France;;
020010047;Hauts de France;76.31;58.8
030780092;Auvergne-Rhône-Alpes;72.68;52.6
030780100;Auvergne-Rhône-Alpes;72.02;42.4
030780118;Auvergne-Rhône-Alpes;70.98;42.9
030780548;Auvergne-Rhône-Alpes;75.63;54.9
030781116;Auvergne-Rhône-Alpes;76.04;50
030785430;Auvergne-Rhône-Alpes;78.27;70.7
040780215;PACA;74.99;57.7
050002948;PACA;;
040788879;PACA;75.49;60.7
040780470;PACA;81.51;80
050000090;PACA;78.5;67.9
050000116;PACA;73.39;62.3
050002948;PACA;71.29;46.1
060780897;PACA;74.44;66.9
060780905;PACA;;
060780954;PACA;70.81;51.4
060000528;PACA;76.25;71.3
060780988;PACA;71.07;54.4
060791761;PACA;72.1;43.3
060021417;PACA;76.25;64.9
060780442;PACA;;
060780491;PACA;73.37;59.9
060780517;PACA;75.68;65
060780590;PACA;76.14;60.4
060780715;PACA;72.68;56.6
060780723;PACA;74.26;49.5
060780756;PACA;71.53;54.3
060780947;PACA;69.59;58.9
060781200;PACA;74.23;30.6
060785011;PACA;73.42;56.2
060785011;PACA;;
060785011;PACA;71.32;54.2
060794013;PACA;76.91;78.3
060800166;PACA;73.97;65.8
070002878;Auvergne-Rhône-Alpes;;
070780358;Auvergne-Rhône-Alpes;71.29;42.3
070780374;Auvergne-Rhône-Alpes;;
070005566;Auvergne-Rhône-Alpes;;
070005566;Auvergne-Rhône-Alpes;71.21;42.9
070780168;Auvergne-Rhône-Alpes;79.05;57.4
070780424;Auvergne-Rhône-Alpes;74.61;58.4
080011174;Grand Est;;
080001969;Grand Est;;
080011174;Grand Est;71.98;58.5
080010473;Grand Est;;
090781774;Occitanie;74.35;55.8
090781816;Occitanie;75.97;66.2
090781774;Occitanie;;
100000082;Grand Est;;
100000017;Grand Est;71.15;45.4
100000124;Grand Est;75.85;67.2
100006279;Grand Est;72.68;53.8
100010818;Grand Est;70.84;48.9
110780061;Occitanie;72.56;46.3
110780137;Occitanie;68.96;30
110780228;Occitanie;72.64;42.5
110780483;Occitanie;76.53;56.9
120780044;Occitanie;70.09;41.1
120780069;Occitanie;76.17;66.7
120780085;Occitanie;;
120004528;Occitanie;;
120004619;Occitanie;79.03;69.6
130041916;PACA;67.64;46
130781446;PACA;69.88;49.4
130782634;PACA;68.35;40
130001647;PACA;77.02;79.5
130785512;PACA;74.07;68.2
130789274;PACA;70.74;46.2
130789316;PACA;;
130008253;PACA;75.35;61.1
130037922;PACA;78.72;55.9
130041767;PACA;76.14;74.5
130042096;PACA;71.25;58.6
130043664;PACA;76.48;68.3
130044753;PACA;;
130786049;PACA;68.85;43.8
130781370;PACA;70.56;43.6
130781479;PACA;71.17;45.9
130781867;PACA;79.08;79.7
130782071;PACA;71.33;45.2
130782147;PACA;69.79;42.1
130782162;PACA;76.6;58.7
130782675;PACA;80.13;63.8
130786049;PACA;70.46;48.3
130786049;PACA;67.1;43.8
130783327;PACA;72.35;51.2
130783665;PACA;;
130783723;PACA;77.24;70.4
130784051;PACA;71.71;58.9
130786049;PACA;73.25;56.7
130784713;PACA;71.6;55.1
130784903;PACA;83.56;67.8
130785389;PACA;76.5;60.5
130785652;PACA;72.01;57.9
130785678;PACA;73.68;39.1
130786361;PACA;75.15;66.3
130786445;PACA;76.51;73.3
130786742;PACA;74.59;66
130789159;PACA;;
130786049;PACA;67.18;41.1
130810740;PACA;75.37;59
140000035;Normandie;70.77;37.4
140000100;Normandie;71.73;49.3
140000118;Normandie;74.49;58.3
140000290;Normandie;76.66;59.7
140000159;Normandie;;
140000555;Normandie;78.7;83.1
140002452;Normandie;;
140000100;Normandie;;
140016759;Normandie;73.72;59.6
140017237;Normandie;76.42;68.5
140018730;Normandie;78.22;67.6
140000092;Normandie;;
140026279;Normandie;;
140026709;Normandie;76.8;65.3
150780088;Auvergne-Rhône-Alpes;;
150780096;Auvergne-Rhône-Alpes;69.6;38.9
150780468;Auvergne-Rhône-Alpes;;
150780732;Auvergne-Rhône-Alpes;77.79;67.1
160000170;Nouvelle Aquitaine;73;53.3
160000451;Nouvelle Aquitaine;72.3;46.8
160000279;Nouvelle Aquitaine;73.69;50.9
160006037;Nouvelle Aquitaine;;
160000485;Nouvelle Aquitaine;;
160000493;Nouvelle Aquitaine;;
160013207;Nouvelle Aquitaine;76.69;67.5
160014411;Nouvelle Aquitaine;73.16;48.8
170780050;Nouvelle Aquitaine;;
170024194;Nouvelle Aquitaine;71.73;48.1
170780167;Nouvelle Aquitaine;;
170780175;Nouvelle Aquitaine;72.35;48.5
170780191;Nouvelle Aquitaine;;
170780225;Nouvelle Aquitaine;74.75;56.6
170780563;Nouvelle Aquitaine;77.51;72.4
170780613;Nouvelle Aquitaine;77.14;65.2
170780621;Nouvelle Aquitaine;;
170780647;Nouvelle Aquitaine;82.02;82.4
170780662;Nouvelle Aquitaine;76.81;64.7
180000028;Centre-Val de Loire;71.45;51.4
180000051;Centre-Val de Loire;75.17;63.8
180000069;Centre-Val de Loire;;
180004145;Centre-Val de Loire;76.32;66
180010209;Centre-Val de Loire;82.06;87.1
190000042;Nouvelle Aquitaine;70.78;44.2
190000059;Nouvelle Aquitaine;73.85;50.9
190000075;Nouvelle Aquitaine;71.81;54.5
190000224;Nouvelle Aquitaine;75.67;57.8
190000257;Nouvelle Aquitaine;81.87;61.8
210011847;Bourgogne-Franche-Comté;76.43;45.3
210012670;Bourgogne-Franche-Comté;73.93;55.2
210780789;Bourgogne-Franche-Comté;77.26;69.2
210780581;Bourgogne-Franche-Comté;72.83;60.6
210012175;Bourgogne-Franche-Comté;;
210012175;Bourgogne-Franche-Comté;74.71;59.4
210012142;Bourgogne-Franche-Comté;;
210012142;Bourgogne-Franche-Comté;;
210012142;Bourgogne-Franche-Comté;;
210780706;Bourgogne-Franche-Comté;73.44;54.3
210987731;Bourgogne-Franche-Comté;80.43;82.4
220000020;Bretagne;74.43;56.1
220000046;Bretagne;72.6;50.5
220000111;Bretagne;78.76;75.5
220000079;Bretagne;78.13;76.1
220000103;Bretagne;72.1;42.9
220000152;Bretagne;;
220005599;Bretagne;78.46;56.9
220022800;Bretagne;78.64;72.1
230780041;Nouvelle Aquitaine;72.15;53.2
230780082;Nouvelle Aquitaine;;
230780157;Nouvelle Aquitaine;77.42;69.9
240000190;Nouvelle Aquitaine;76.49;52.6
240000208;Nouvelle Aquitaine;75.78;63.8
240000216;Nouvelle Aquitaine;82.14;87.9
240000059;Nouvelle Aquitaine;;
240000117;Nouvelle Aquitaine;70.44;45.3
240000448;Nouvelle Aquitaine;;
250000270;Bourgogne-Franche-Comté;76.21;66.6
250000221;Bourgogne-Franche-Comté;;
250000452;Bourgogne-Franche-Comté;74.17;55.8
900000365;Bourgogne-Franche-Comté;;
250000015;Bourgogne-Franche-Comté;71.81;54.4
250011848;Bourgogne-Franche-Comté;76.63;62.7
260000021;Auvergne-Rhône-Alpes;72.18;54.3
260016910;Auvergne-Rhône-Alpes;71.68;49.2
260000047;Auvergne-Rhône-Alpes;74.63;56.4
260000054;Auvergne-Rhône-Alpes;;
260016910;Auvergne-Rhône-Alpes;;
260000088;Auvergne-Rhône-Alpes;;
260000260;Auvergne-Rhône-Alpes;78.4;64.1
260000104;Auvergne-Rhône-Alpes;;
260003017;Auvergne-Rhône-Alpes;77;58
260006267;Auvergne-Rhône-Alpes;;
270000060;Normandie;66.09;36.7
270000326;Normandie;74.79;62.8
270023724;Normandie;72.37;48.5
270000086;Normandie;73.64;55.1
760024042;Normandie;;
270000102;Normandie;;
270000110;Normandie;;
270023724;Normandie;71.38;49.5
270000862;Normandie;70.09;47.1
280000183;Centre-Val de Loire;69.25;39.8
280000225;Centre-Val de Loire;;
280000449;Centre-Val de Loire;;
280500075;Centre-Val de Loire;;
280000589;Centre-Val de Loire;;
280000134;Centre-Val de Loire;72.69;46.2
280505777;Centre-Val de Loire;74.71;52.3
290020700;Bretagne;73.52;50.2
290021542;Bretagne;73.87;45.5
290000017;Bretagne;73.28;58.2
290020700;Bretagne;;
290000140;Bretagne;77.76;62.2
290000041;Bretagne;78.14;74.6
290000074;Bretagne;;
290000207;Bretagne;80.22;74.6
290000215;Bretagne;78.27;77.5
290000017;Bretagne;75.6;55.2
290000116;Bretagne;;
290000728;Bretagne;;
290000785;Bretagne;73.2;57
560005746;Bretagne;72.5;43.1
290000975;Bretagne;;
290004142;Bretagne;77.04;65
290000017;Bretagne;72.66;56.4
290000017;Bretagne;;
290019777;Bretagne;74.98;56.1
290023431;Bretagne;78.98;78.1
2A0000014;Corse;65.13;30.9
2A0000139;Corse;71.83;56
2A0000154;Corse;70.89;39.5
2B0000020;Corse;70.51;55.9
2B0000079;Corse;;
2B0000145;Corse;75.78;67.6
2B0000392;Corse;;
300780046;Occitanie;69.05;35.4
300780053;Occitanie;72.61;47.3
300017209;Occitanie;;
300780137;Occitanie;71.58;48.8
300780152;Occitanie;73.06;62
300781465;Occitanie;74.17;48.4
300780038;Occitanie;73.06;59.6
300788502;Occitanie;73.97;51.6
310780671;Occitanie;78.65;63.6
310780671;Occitanie;74.38;54.5
310781406;Occitanie;72.05;59.2
310781406;Occitanie;76.95;65.1
310021571;Occitanie;;
310781406;Occitanie;;
310781406;Occitanie;80.25;76.4
310026083;Occitanie;74.39;58.3
310026927;Occitanie;74.06;50.8
310780150;Occitanie;79.76;76.3
310780259;Occitanie;76.7;73.3
310780283;Occitanie;74.43;53.6
310780382;Occitanie;71.73;44.4
310781000;Occitanie;74.55;48.4
310781067;Occitanie;73.25;69.4
310781505;Occitanie;72.94;53.4
310781695;Occitanie;;
310782016;Occitanie;;
310782347;Occitanie;81.86;81.7
310781406;Occitanie;75.15;65.5
310781406;Occitanie;74.07;63.9
320780117;Occitanie;72.37;58.3
320780067;Occitanie;;
330000217;Nouvelle Aquitaine;;
330000332;Nouvelle Aquitaine;75.98;67.5
330000340;Nouvelle Aquitaine;74.33;64.7
330781204;Nouvelle Aquitaine;73.41;56.8
330781220;Nouvelle Aquitaine;69.28;32.1
330027509;Nouvelle Aquitaine;;
330781253;Nouvelle Aquitaine;72.72;53.1
330781261;Nouvelle Aquitaine;;
330000662;Nouvelle Aquitaine;78.44;83.1
330060658;Nouvelle Aquitaine;79.09;75.9
330780040;Nouvelle Aquitaine;79.5;71.9
330780081;Nouvelle Aquitaine;74.66;65.1
330780115;Nouvelle Aquitaine;75.76;56.1
330780206;Nouvelle Aquitaine;77.32;66.9
330780263;Nouvelle Aquitaine;73.54;58.8
330780271;Nouvelle Aquitaine;82.21;83.5
330780354;Nouvelle Aquitaine;74.55;43.2
330780479;Nouvelle Aquitaine;73.81;56.2
